Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Feb-08,4.00%,4.60%,5.10%,3.90%,18.90%,32.70%,3.40%,3.50%,2.30%,0.00%,-1.00%,-0.80%,2.90%,3.20%,2.90%,5.00%,3.20%
Mar-08,4.00%,4.50%,4.70%,4.10%,17.00%,26.00%,3.70%,5.30%,2.40%,0.00%,-1.40%,-1.10%,3.60%,3.30%,2.90%,4.80%,3.00%
Apr-08,3.90%,5.10%,5.90%,4.10%,15.90%,20.70%,5.00%,10.90%,2.30%,0.10%,-0.70%,-1.30%,3.00%,3.10%,2.60%,4.70%,3.20%
May-08,4.20%,5.10%,5.80%,4.30%,17.40%,20.80%,5.80%,16.50%,2.30%,0.10%,-0.60%,-1.20%,2.20%,3.20%,2.60%,4.70%,3.00%
Jun-08,5.00%,5.30%,6.10%,4.40%,24.70%,32.80%,5.60%,21.50%,2.40%,0.20%,-0.20%,-1.00%,2.30%,3.30%,2.50%,4.60%,3.40%
Jul-08,5.60%,6.00%,7.10%,4.60%,29.30%,37.90%,7.90%,32.70%,2.50%,0.60%,0.80%,-0.80%,1.60%,3.30%,2.50%,4.10%,3.70%
Aug-08,5.40%,6.10%,7.50%,4.50%,27.20%,35.60%,9.10%,29.30%,2.50%,0.60%,1.70%,-1.30%,1.30%,3.30%,2.40%,3.90%,3.60%
Sep-08,4.90%,6.20%,7.60%,4.50%,23.10%,31.70%,7.70%,19.00%,2.50%,0.50%,1.40%,-1.90%,1.40%,3.20%,2.40%,3.80%,3.50%
Oct-08,3.70%,6.30%,7.50%,4.80%,11.50%,12.00%,8.10%,13.90%,2.20%,0.10%,0.30%,-2.30%,1.20%,3.00%,2.20%,3.40%,3.40%
Nov-08,1.10%,6.00%,7.00%,4.90%,-13.30%,-29.40%,8.10%,7.50%,2.00%,-0.20%,0.00%,-2.90%,1.40%,2.90%,2.20%,3.10%,3.60%
Dec-08,0.10%,5.90%,6.60%,5.00%,-21.30%,-43.10%,8.60%,5.50%,1.80%,-0.60%,-1.00%,-3.20%,1.60%,2.70%,1.90%,3.00%,3.60%
